Account,total_trades,total_pnl,win_rate,avg_profit,avg_loss,max_drawdown,avg_daily_trades,avg_size_usd,avg_daily_fee,avg_ls_ratio,cluster,color,label
0x083384f897ee0f19899168e3b1bec365f52a9012,1732,1600229.819979,79.27251732101617,1479.7562025433358,-1201.8814654958214,-326659.33799800044,159.08333333333334,33569.102223713766,308.55467933333335,0.07125000000000001,0,#e67e22,Whales (n=6)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4166,47885.320514,77.36437830052807,28.234195034129694,-45.71950167656416,-22505.512853999928,145.42,4538.946123210588,54.5967577706,4.1041,2,#3498db,Balanced Traders (n=11)
0x271b280974205ca63b716753467d5a371de622ab,1607,-70436.191318,71.5619166148102,54.73115818173913,-291.85344250984684,-132868.175087,346.09090909090907,12062.620345797744,843.7257136363637,0.019666666666666666,2,#3498db,Balanced Traders (n=11)
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6771,132494.029922,86.22064687638458,29.343737222165124,-41.60204499571275,-20849.96769999998,82.09876543209876,485.94215032152204,13.693625718832717,5.218529032258064,1,#2ecc71,Precision Traders (n=14)
0x2c229d22b100a7beb69122eed721cee9b24011dd,2060,168658.004994,81.74757281553397,107.3279254388361,-32.13356767287234,-3323.090681999922,46.94202898550725,2553.7570373757217,45.04632930434783,9.855072463768115,1,#2ecc71,Precision Traders (n=14)
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,570,-31203.599986,65.08771929824562,137.6704304393531,-413.4639682361809,-72378.920559,26.0,2324.9783524188647,4.902492112666667,5.0,2,#3498db,Balanced Traders (n=11)
0x39cef799f8b69da1995852eea189df24eb5cae3c,1767,14456.919335999995,66.553480475382,201.2334975297619,-375.9622229424704,-165878.95836699984,78.02173913043478,28188.549085190585,31.70993752326087,3.60175,0,#e67e22,Whales (n=6)
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,158,53496.247243,100.0,338.58384331012667,0.0,0.0,12.615384615384615,10655.700463199251,6.779775996807692,10.0,1,#2ecc71,Precision Traders (n=14)
0x420ab45e0bd8863569a5efbb9c05d91f40624641,90,199505.592732,100.0,2216.7288081333327,0.0,0.0,19.15,8334.762260556681,13.398354448949998,0.011916666666666666,3,#9b59b6,Bot/Outlier (n=1)
0x430f09841d65beb3f27765503d0f850b8bce7713,591,359063.416315,100.0,607.5523118697123,0.0,0.0,86.78571428571429,3537.8588252881664,53.35763792857143,5.0,1,#2ecc71,Precision Traders (n=14)
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3663,103343.716161,82.20038220038221,47.994529433410825,-63.14081589417178,-19322.08860599989,59.11805555555556,517.2543347576743,8.547545285985416,1.925621212121212,2,#3498db,Balanced Traders (n=11)
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2233,677747.050643,94.8499776085983,326.17082455665724,-113.76309363478263,-7577.27,75.08620689655173,16025.425239799246,138.3791792101724,7.994186046511628,1,#2ecc71,Precision Traders (n=14)
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2949,308975.869716,92.67548321464903,191.99644568971823,-998.8445201574076,-113383.71528999996,23.557632398753896,16068.262529137763,126.86749969781933,6.853610932475884,0,#e67e22,Whales (n=6)
0x513b8629fe877bb581bf244e326a047b249c4ff1,5482,840422.555216,89.54761036118205,206.1246280002037,-299.2028684764398,-84803.25168200003,313.7435897435897,27603.84521556422,1959.6062279920513,7.276666666666667,0,#e67e22,Whales (n=6)
0x6d6a4b953f202f8df5bed40692e7fd865318264a,426,108731.216772,98.8262910798122,258.491257391924,-18.720518,-89.17809999999008,20.680851063829788,871.7076706720665,3.975235679412766,0.5814545454545454,1,#2ecc71,Precision Traders (n=14)
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,429355.565915,74.6268656716418,901.7393113981818,-356.15537622459897,-58219.75226099987,83.6842105263158,9367.295108536868,81.65459296263158,1.6516923076923078,2,#3498db,Balanced Traders (n=11)
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,564,403011.504159,77.6595744680851,1019.3269694703196,-344.8707021349207,-12239.233668999746,21.666666666666668,4840.92212840505,4.39410679030303,2.2865098039215686,2,#3498db,Balanced Traders (n=11)
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8660,379095.406711,92.63279445727484,53.47135531837447,-78.1376264153605,-22517.283583999782,67.76027397260275,3354.209290301069,17.775747545753426,3.7162,1,#2ecc71,Precision Traders (n=14)
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,746,14900.443047,94.50402144772116,24.417208460992903,-56.43143702439025,-869.1459780000005,59.96153846153846,6760.1144210194525,30.00834242153846,2.958,1,#2ecc71,Precision Traders (n=14)
0x8170715b3b381dffb7062c0298972d4727a0a63b,2340,-154868.211741,75.25641025641025,182.92393992674616,-823.8294817823834,-430285.4366850001,50.0,2782.4166952825317,17.167233173043478,1.2807910447761195,2,#3498db,Balanced Traders (n=11)
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,714,65513.657906,88.37535014005601,112.74372159746432,-67.8027761686747,-4968.4879479999945,35.388888888888886,5475.174210575846,62.683004047777786,7.436133333333333,1,#2ecc71,Precision Traders (n=14)
0x8477e447846c758f5a675856001ea72298fd9cb5,6559,43917.008976,59.90242415002287,28.835376653855946,-26.379158135741445,-34260.13481499959,86.17241379310344,840.1254450986144,21.796224686609197,1.2654071856287425,2,#3498db,Balanced Traders (n=11)
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,892,126578.942134,97.6457399103139,146.0892554305396,-31.65711171428571,-621.5450600000186,179.47058823529412,13215.693912375447,165.99757642705882,5.6,1,#2ecc71,Precision Traders (n=14)
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5561,106302.875256,97.0329077504046,21.581669636582653,-61.52614607878788,-8766.773925999856,243.8125,1273.0911389368616,35.749303642253125,14.869285714285715,1,#2ecc71,Precision Traders (n=14)
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,255,72846.484272,93.72549019607844,379.2153124728033,-1111.6234630625,-4415.835089,12.088235294117647,2185.5669159025438,5.586411897352941,10.0,1,#2ecc71,Precision Traders (n=14)
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,230,67845.619531,100.0,294.9809544826087,0.0,0.0,40.142857142857146,3170.860066215581,39.19494747214286,10.0,1,#2ecc71,Precision Traders (n=14)
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,230,21758.831753,74.78260869565217,148.95702829069765,-66.58236401724137,-2663.777113,26.7,18919.354152424097,27.087280472319996,10.0,0,#e67e22,Whales (n=6)
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6279,2143382.597689,79.1049530179965,443.8202652307229,-46.54928331707317,-10883.684992,57.960629921259844,4532.514472208559,62.973693904803156,4.261509202453988,2,#3498db,Balanced Traders (n=11)
0xb899e522b5715391ae1d4f137653e7906c5e2115,2641,22488.500821,80.34835289663006,54.48852297031103,-179.45307306743734,-72447.14201299996,138.22857142857143,26246.518331080708,818.3763918571428,4.909882352941176,0,#e67e22,Whales (n=6)
0xbaaaf6571ab7d571043ff1e313a9609a10637864,9997,940163.80622,99.11973592077624,94.88327396336663,-0.3926759431818181,-25.50699399997393,756.8571428571429,4528.364242699367,307.0252023649643,10.0,1,#2ecc71,Precision Traders (n=14)
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1177,220519.061853,73.49192863211555,645.8232859791908,-1083.7117965352566,-116595.66536299998,39.417910447761194,10511.08274482338,71.24027588701493,1.9953103448275864,2,#3498db,Balanced Traders (n=11)
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,22551,836080.553077,76.30703738193428,65.56040683751743,-54.66646598970616,-98726.73913599992,309.0153846153846,1778.314589024322,102.71461314576923,4.24314606741573,2,#3498db,Balanced Traders (n=11)
